,,,,,기관,외국인,외국인,외국인
날짜,종가,전일비,등락률,거래량,순매매량,순매매량,보유주수,보유율
2024.08.28,"76,400",600,0.79%,"9,671,798","533,263","-1,470,392","3,351,439,903",56.14%
2024.08.27,"75,800",-300,-0.39%,"11,130,145","304,677","-1,446,782","3,352,910,295",56.16%
2024.08.26,"76,100",-1600,-2.06%,"15,655,938","584,334","-3,737,763","3,354,085,777",56.18%
2024.08.23,"77,700",-600,-0.77%,"9,420,306","748,590","-1,392,121","3,357,636,890",56.24%
2024.08.22,"78,300",0,0.00%,"8,149,101","-452,139","310,180","3,358,830,711",56.26%
2024.08.21,"78,300",-600,-0.76%,"7,734,771","177,643","82,341","3,357,989,044",56.25%
2024.08.20,"78,900",600,0.77%,"10,683,836","-141,999","924,485","3,357,906,703",56.25%
2024.08.19,"78,300",-1900,-2.37%,"14,146,565","-339,031","-1,468,641","3,356,978,020",56.23%
2024.08.16,"80,200",3000,3.89%,"22,061,478","918,078","6,540,655","3,358,563,961",56.26%
2024.08.14,"77,200",1100,1.45%,"13,246,168","-230,603","2,054,899","3,352,025,208",56.15%
2024.08.13,"76,100",600,0.79%,"10,716,261","-202,595","1,857,644","3,349,911,209",56.11%
2024.08.12,"75,500",800,1.07%,"9,839,259","112,759","473,898","3,347,828,165",56.08%
2024.08.09,"74,700",1300,1.77%,"16,388,222","-21,816","556,506","3,347,500,307",56.07%
2024.08.08,"73,400",-1300,-1.74%,"28,414,729","-3,828,398","-3,296,483","3,346,950,301",56.06%
2024.08.07,"74,700",2200,3.03%,"32,710,428","-2,123,457","1,071,074","3,350,207,687",56.12%
2024.08.06,"72,500",1100,1.54%,"47,295,226","-7,018,788","-2,581,926","3,349,242,765",56.10%
2024.08.05,"71,400",-8200,-10.30%,"54,608,790","-2,439,089","-16,584,000","3,351,340,541",56.14%
2024.08.02,"79,600",-3500,-4.21%,"25,800,275","-3,138,554","-3,630,476","3,367,986,900",56.42%
